ari,batch_size,elapsed_seconds,epochs,nmi,section_id,self_nmse_gene,stage1_sum_ari,stage1_sum_nmi,stage1_support_ari,stage1_support_nmi,stage2_input
0.3915985229489379,256,66.41667583293747,50,0.5123065678334033,151507,0.8828496371998507,0.1862830098009456,0.3570557101927231,0.26672291263387127,0.46898246536367433,support
0.45413353393154754,256,68.06669958401471,50,0.5543379340033162,151508,0.894955144988166,0.2250080480496525,0.3449078437200433,0.38316784048065483,0.49231252409371795,support
0.47074454099874397,256,74.63737816701178,50,0.5576267028245715,151509,0.8841822994382758,0.27616280088513,0.4381061374728704,0.28062485699355255,0.46648938132029344,support
0.49355311989862194,256,71.49860366689973,50,0.5474924289620016,151510,0.8843318290180631,0.0300377370924592,0.14674526492056394,0.4113008194265977,0.4823227987921599,support
0.32914596782656813,256,55.825025667087175,50,0.4505832195645998,151669,0.8883790095647176,-0.021256527101997366,0.017560971272235035,0.2689574313161643,0.37904289370955235,support
0.39223356737680914,256,53.66710862494074,50,0.4151648702517486,151670,0.8822627706187112,0.04078816525382393,0.06351826303369332,0.25021552003669356,0.38596562379844995,support
0.3062664069190481,256,63.42681908304803,50,0.4634892046474048,151671,0.8865608349442482,-0.03710708551576346,0.02221904108129003,0.4243702637026857,0.5312327879810933,support
0.3634263272965373,256,68.11044624994975,50,0.48689614655842567,151672,0.8801650404930115,0.08889131677367769,0.19951485232409127,0.19251254311980004,0.34823622587816433,support
0.29200405721056766,256,77.4054662080016,50,0.4410914588690372,151673,0.8675211270650228,0.1805407759923443,0.39646483754919254,0.3451465080880022,0.5493690863499647,support
0.37275419313262426,256,71.25082037504762,50,0.46475520804828696,151674,0.866904330253601,0.11850955339209768,0.3226698299699963,0.3412942115257037,0.4486558808653744,support
0.3434094096526856,256,70.95262799994089,50,0.46326343669042463,151675,0.8582456026758466,0.1920530718728554,0.4174397985205627,0.31937106233377277,0.45616735879078313,support
0.27924108563057887,256,64.22258929198142,50,0.43118255387485716,151676,0.8641383392470223,0.1283176554826857,0.30432017123544963,0.24669645263755433,0.4481628352000992,support
0.38977548911113813,512,81.2401134580141,50,0.5118043531730485,151507,0.90601556830936,0.1883137726865348,0.3516207285398623,0.35529852318086164,0.44990559540991515,support
0.29837092065976545,512,82.23885008401703,50,0.41154346486653837,151508,0.9068502651320564,0.010757674095165754,0.026093576382232503,0.33051084443194445,0.4680540027815542,support
0.4794617280256914,512,89.41795645805541,50,0.5254035592972718,151509,0.902256965637207,0.27093533554660587,0.4311954459236622,0.2634015673154358,0.4536933215302018,sum
0.5036177190834891,512,85.50162820809055,50,0.5265356970934896,151510,0.9030012355910407,0.17597392336305803,0.3486033604459086,0.2719578206611225,0.44365246290035076,support
0.2735007604400092,512,65.5119379159296,50,0.38164626699109216,151669,0.9168236553668976,-0.02251925710473988,0.027161650567085492,0.12095078804494079,0.36805509924228824,support
0.39792638417477794,512,60.42289875005372,50,0.4493249274839024,151670,0.9040733320372445,0.03768704832203137,0.08280871471245409,0.19905382589153575,0.35924494297232196,support
0.3213738029848067,512,76.38639720797073,50,0.4529941074164977,151671,0.9062673225998878,-0.034453501389495364,0.01750467041888605,0.09623315422777075,0.30139789897102276,support
0.3559790452710913,512,70.62881850008853,50,0.49092525665936226,151672,0.8972608149051666,0.07579832014874759,0.14586257183922427,0.14498562325605546,0.33564066883725147,support
